1388A,550,800
1389A,370,800
1385A,480,800
1382A,280,800
1374A,530,800
1375I,4367,3500
1370A,340,800
1371A,60,800
1368A,530,800
1368H2,4360,3500
1369A,270,800
1336E2,3687,3500
1336F,3834,3500
1338E,3637,3500
1367A,-55,800
1358A,120,800
1360A,380,800
1360B,340,800
1349F2,4301,3500
1349E,3765,3500
1292F,3686,3500
1305G,3778,3500
1311A,620,800
1329E,3660,3300
1335A,610,800
1285A,620,800
1322F,4201,3500
1326G,4362,3500
1276E,4134,3500
1286F,3547,3100
1292E,3686,3500
1286E,3468,3200
1284G,3509,3300
1280F,4124,3400
1281A,640,800
1283A,470,800
1242E,3412,3200
1237G,3762,3500
1239F,4069,3400
1208H,3748,3500
1229F,4197,3500
1209G2,3413,3200
1210G,3749,3500
1190F,3618,3400
1179E,3410,3200
1205F,3616,3400
1064A,670,800
1081H,4208,3500
1083D,4109,3500
1168E,3398,3100
1178H,4190,3500
1158F,3662,3500
1161F,4230,3500
1098F,4224,3500
1110H,4307,3500
1119H,3403,3200
1146A,640,800
1148H,4357,3500
1154A,680,800
1058A,540,800
1025G,3534,3200
1097A,700,800
1043G,4262,3500
1054H,4129,3500
1055G,3659,3500
1086F,3631,3500
1093A,700,800
1060G,4049,3400
1191A,630,800
1196A,700,800
1312A,700,800
1367B,450,800
1385B,80,800
1039E,4020,3400
1119G,3317,3100
1264F,3714,3500
1305H,3650,3500
1180A,680,800
1290E,3517,3300
1391A,90,800
1391B,560,800
1392I,3524,3300
1393A,640,800
1394E,4371,3500
1397A,300,800
1398A,460,800
1398B,620,800
1399A,180,800
1399B,420,800
1400A,320,800
1405A,500,800
1408A,540,800
1409A,-61,800
1411A,-153,800
1413A,120,800
1415A,-84,800
1417A,130,800
1421A,130,800
1422A,540,800
1426A,20,800
1427F,3438,3200
1427H,4403,3500
1428A,270,800
1428H,3834,3500
1430B,540,800
1433A,-175,800
1433B,480,800
1435A,550,800
1436A,400,800
1437A,700,800
1440A,130,800
1443A,670,800
1444E,4222,3500
1445A,290,800
1446E,3806,3500
1447A,560,800
1450A,440,800
1451A,560,800
1452A,160,800
1452C,660,800
1453A,-140,800
1454A,-23,800
1454B,690,800
1455A,80,800
1457A,220,800
1458F,4367,3500
1459A,660,800
1461A,260,800
1462A,-68,800
1464F,4472,3500
1465A,160,800
1466A,200,800
1466B,660,800
1466I,3647,3400
1470F,4411,3500
1472A,500,800
1472B,560,800
1473A,110,800
1474A,550,800
1477F,3907,3500
1478A,310,800
1479E,3842,3500
1480A,120,800
1481A,370,800
1482A,140,800
1484A,-166,800
1487A,160,800
1490A,420,800
1491A,550,800
1491I,4426,3500
1493A,610,800
1498A,450,800
1499A,50,800
1500F,3815,3500
1503F,3911,3500
1506A,350,800
1508F,3899,3500
1509A,140,800
1511A,40,800
1512A,-92,800
1512B,650,800
1513A,460,800
1514A,560,800
1515A,680,800
1515H,3758,3500
1515I,3607,3400
1516A,690,800
1517A,420,800
1517H,4448,3500
1519A,530,800
1519B,620,800
1520A,210,800
1523H,4479,3500
1525A,180,800
1527A,570,800
1529A,240,800
1530A,220,800
1535A,-241,800
1537A,280,800
1538A,510,800
1538B,540,800
1540E,4487,3500
1541A,300,800
1542A,-52,800
1544A,-123,800
1544B,450,800
1544H,3623,3400
1545E1,4502,3500
1545E2,4502,3500
1545F,4502,3500
1546A,620,800
1547A,370,800
1547B,680,800
1549A,290,800
1550A,160,800
1551A,-69,800
1551B1,520,800
1552A,90,800
1553A,100,800
1554A,510,800
1556A,160,800
1557A,510,800
1560A,-101,800
1560B,490,800
1562A,360,800
1566A,320,800
1566B,620,800
1566H,3827,3200
1567A,-141,800
1569A,140,800
1574A,260,800
1579A,-191,800
1580E,3787,3400
1580F,3787,3300
1581A,390,800
1582A,560,800
1583A,390,800
1583H,3664,3300
1584A,230,800
1585A,-104,800
1586A,550,800
1586I,3731,3500
1588F,4251,3500
1589A,390,800
1591A,230,800
1592A,680,800
1593A,330,800
1594A,310,800
1598A,110,800
1601F,3787,3400
1602A,180,800
1603E,3489,3200
1603F,3729,2700
1604A,480,800
1605A,530,800
1607A,-69,800
1608A,-103,800
1608F,3417,3200
1608G,4215,3500
1609H,3923,3500
1610H,3508,3100
1611A,110,800
1611B,620,800
1612A,130,800
1614A,120,800
1615A,250,800
1616A,550,800
1616G,3618,3500
1618A,-72,800
1618B,640,800
1619A,20,800
1619B,620,800
1620A,620,800
1621A,180,800
1621H,3772,3500
1621I,4545,3500
1622A,70,800
1623A,520,800
1624A,-166,800
1625A,510,800
1627A,280,800
1628F,4543,3500
1629A,60,800
1629B,670,800
1631A,100,800
1632A,210,800
1633A,420,800
1633B,580,800
1634A,550,800
1635A,480,800
1637A,450,800
1637H,3626,3500
1638A,670,800
1641F,3952,3500
1642A,660,800
1644A,-66,800
1644B,620,800
1646A,260,800
1647A,430,800
1648F,4389,3500
1650A,100,800
1651A,1,800
1651B,670,800
1652A,70,800
1654A,-151,800
1654B,630,800
1654H,4359,3500
1656A,420,800
1656I,4544,3500
1657A,230,800
1657B,260,800
1658A,420,800
1660A,-194,800
1660B,530,800
1661A,580,800
1665A,180,800
1667F,4476,3500
1668A,470,800
1669A,-228,800
1669B,350,800
1669C,450,800
1671A,350,800
1672A,600,800
1672I,3722,3000
1673A,180,800
1674A,340,800
1674B,340,800
1675A,140,800
1676A,-153,800
1676B,-3,800
1676C,630,800
1677F,3765,3500
1678A,490,800
1680A,310,800
1680B,660,800
1681A,120,800
1681B,560,800
1682A,590,800
1684A,180,800
1685E,3927,3500
1686A,270,800
1687F,4490,3500
1689A,690,800
1690A,210,800
1690C,670,800
1691A,270,800
1692A,-201,800
1692B,650,800
1692C,590,800
1694A,450,800
1696A,530,800
1696H,3746,3500
1697A,-71,800
1698A,172,800
1699A,276,800
1700A,330,800
1701A,-65,800
1701B,680,800
1702A,75,800
1702B,581,800
1703A,-126,800
1703B,132,800
1703C,392,800
1704A,439,800
1704G,3654,3500
1704H2,4472,3500
1705A,231,800
1706A,311,800
1707E,3930,3500
1707F,4465,3500
1709A,-15,800
1711A,305,800
1714B,585,800
1714C,588,800
1716A,297,800
1716B,617,800
231A,700,800
467A,650,800
509A,670,800
581A,660,800
615A,660,800
677A,490,800
705A,660,800
734A,660,800
750H,4264,3500
758A,610,800
785A,580,800
791A,580,800
799G,3643,3500
835A,650,800
867A,600,800
931A,700,800
935A,590,800
946A,650,800
954A,610,800
959A,570,800
976A,550,800
977A,530,800
996A,620,800
1696A,530,800
1696H,3746,3500
1698A,172,800
1699A,276,800
1701A,-65,800
1701B,680,800
1702A,75,800
1702B,581,800
1703A,-126,800
1703B,132,800
1703C,392,800
1704A,439,800
1704G,3654,3500
1704H2,4472,3500
1705A,231,800
1706A,311,800
1707E,3930,3500
1707F,4465,3500
1709A,-15,800
1711A,305,800
1712A,386,800
1712B,595,800
1713A,594,800
1714B,585,800
1714C,588,800
1715A,6,800
1716A,297,800
1716B,617,800
1717A,604,800
1718E,3926,3500
1719A,97,800
1720B,686,800
1721A,-19,800
1722A,227,800
1722B,110,800
1722C,682,800
1728A,68,800
1729A,20,800
1729B,583,800
1730A,161,800
1733A,492,800
1734A,200,800
1734B,629,800
1735A,310,800
1736A,304,800
1739A,115,800
1740A,100,800
1740B,681,800
1740I,4375,3500
1741A,213,800
1741B,493,800
1742A,-150,800
1742B,200,800
1743A,87,800
1743B,473,800
1744A,342,800
1744B,643,800
1746A,229,800
1746G,4523,3500
1747A,275,800
1748A,-146,800
1749A,369,800
1750A,343,800
1750B,615,800
1750H,4531,3500
1753F,4345,3500
1754A,502,800
1737F,3558,3300
1718F,3686,3300